antelope;92,27272727272727;70,85653277490768
bobcat;84,62962962962965;68,89624813099253
buffalo;88,8888888888889;71,28485606957808
chihuahua;86,98924731182795;69,59840258969257
collie;91,66666666666667;72,25618087714314
cow;91,80555555555556;77,08151885467531
dalmatian;88,73563218390801;65,49879468318903
deer;92,75362318840581;65,9609513611394
fox;90,59523809523809;74,84136756030236
german+shepherd;89,52380952380953;70,36786878567352
giant+panda;86,93333333333332;64,64875503501219
grizzly+bear;89,7701149425287;69,37996611526438
horse;91,7948717948718;66,13167515253585
leopard;89,2982456140351;65,49380028221682
lion;89,02777777777779;70,15760539041635
moose;90,68965517241378;72,23966924670201
ox;90,93333333333332;69,87623256039835
persian+cat;86,04938271604937;72,10479107716505
polar+bear;89,44444444444444;73,41366289332164
sheep;92,87878787878786;78,99970438518893
siamese+cat;86,86274509803918;60,70942983184708
tiger;91,28205128205127;76,76827467231034
wolf;91,11111111111111;73,74693654662835
